meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Russian National Championships 2018,01:53.71,25/04/2018,Men 200 Backstroke LCM Male,RUS,Russian Federation,"RYLOV, Evgeny",M,23/09/1996,,,17,17,953,Moscow,RUS
McDonalds Queensland Championships 2015,01:53.72,15/12/2015,Men 200 Backstroke LCM Male,AUS,Australia,"LARKIN, Mitchell",M,09/07/1993,,,18,18,953,Brisbane,AUS
Olympic Games London 2012,01:53.78,02/08/2012,Men 200 Backstroke LCM Male,JPN,Japan,"IRIE, Ryosuke",M,24/01/1990,,,19,19,951,London,GBR
15th FINA World Championships 2013,01:53.79,02/08/2013,Men 200 Backstroke LCM Male,USA,United States of America,"LOCHTE, Ryan",M,03/08/1984,,,20,20,951,Barcelona,ESP
FINA/airweave Swimming World Cup 2015,01:53.80,03/11/2015,Men 200 Backstroke LCM Male,AUS,Australia,"LARKIN, Mitchell",M,09/07/1993,,,21,21,951,Doha,QAT
Russian National Championships (50m),01:53.81,13/04/2017,Men 200 Backstroke LCM Male,RUS,Russian Federation,"RYLOV, Evgeny",M,23/09/1996,,,22,22,951,Moscow,RUS
Russian National Championships (50m),01:53.81,08/04/2017,Men 200 Backstroke LCM Male,RUS,Russian Federation,"RYLOV, Evgeny",M,23/09/1996,,,22,23,951,Moscow,RUS
13th FINA World Championships 2009,01:53.82,31/07/2009,Men 200 Backstroke LCM Male,USA,United States of America,"LOCHTE, Ryan",M,03/08/1984,,,24,24,,Rome,ITA
Australian National Championships (50m),01:53.90,11/04/2016,Men 200 Backstroke LCM Male,AUS,Australia,"LARKIN, Mitchell",M,09/07/1993,,,25,25,948,Adelaide,AUS
Japan Swim 2014,01:53.91,10/04/2014,Men 200 Backstroke LCM Male,JPN,Japan,"IRIE, Ryosuke",M,24/01/1990,,,26,26,948,Tokyo,JPN
Olympic Games London 2012,01:53.94,02/08/2012,Men 200 Backstroke LCM Male,USA,United States of America,"LOCHTE, Ryan",M,03/08/1984,,,27,27,947,London,GBR
Olympic Games Beijing 2008,01:53.94,15/08/2008,Men 200 Backstroke LCM Male,USA,United States of America,"LOCHTE, Ryan",M,03/08/1984,,,27,28,1035,Beijing,CHN
US Olympic Team Trials - Swimming,01:53.95,01/07/2016,Men 200 Backstroke LCM Male,USA,United States of America,"MURPHY, Ryan",M,02/07/1995,,,29,29,947,Omaha,USA
Olympic Games Rio 2016,01:53.96,11/08/2016,Men 200 Backstroke LCM Male,AUS,Australia,"LARKIN, Mitchell",M,09/07/1993,,,30,30,947,Rio de Janeiro,BRA
Olympic Games Rio 2016,01:53.97,11/08/2016,Men 200 Backstroke LCM Male,RUS,Russian Federation,"RYLOV, Evgeny",M,23/09/1996,,,31,31,947,Rio de Janeiro,BRA
18th Asian Games 2018,01:53.99,23/08/2018,Men 200 Backstroke LCM Male,CHN,People's Republic of China,"XU, Jiayu",M,19/08/1995,,,32,32,946,Jakarta,INA
Russian National Championships (50m),01:54.00,11/04/2019,Men 200 Backstroke LCM Male,RUS,Russian Federation,"RYLOV, Evgeny",M,23/09/1996,,,33,33,946,Moscow,RUS
2012 Western States- AUS,01:54.02,20/01/2012,Men 200 Backstroke LCM Male,JPN,Japan,"IRIE, Ryosuke",M,24/01/1990,,,34,34,945,Perth,AUS
National Chinese Championships (50m),01:54.03,08/04/2017,Men 200 Backstroke LCM Male,CHN,People's Republic of China,"XU, Jiayu",M,19/08/1995,,,35,35,945,Qingdae,CHN
Japan National Championships (50m),01:54.03,02/04/2012,Men 200 Backstroke LCM Male,JPN,Japan,"IRIE, Ryosuke",M,24/01/1990,,,35,36,945,Tokyo,JPN
13th FINA World Championships 2009,01:54.06,30/07/2009,Men 200 Backstroke LCM Male,USA,United States of America,"PEIRSOL, Aaron",M,23/07/1983,,,37,37,,Rome,ITA
13th Pan Pacific Championships 2018,01:54.07,12/08/2018,Men 200 Backstroke LCM Male,USA,United States of America,"MURPHY, Ryan",M,02/07/1995,,,38,38,944,Tokyo,JPN
2011 International Competition Selection Trial,01:54.08,09/04/2011,Men 200 Backstroke LCM Male,JPN,Japan,"IRIE, Ryosuke",M,24/01/1990,,,39,39,944,Shizuoka,JPN
14th FINA World Championships 2011,01:54.11,29/07/2011,Men 200 Backstroke LCM Male,JPN,Japan,"IRIE, Ryosuke",M,24/01/1990,,,40,40,943,Shanghai,CHN
18th FINA World Championships 2019,01:54.12,26/07/2019,Men 200 Backstroke LCM Male,USA,United States of America,"MURPHY, Ryan",M,02/07/1995,,,41,41,943,Gwangju,KOR
11th Pan Pacific Championships 2010,01:54.12,20/08/2010,Men 200 Backstroke LCM Male,USA,United States of America,"LOCHTE, Ryan",M,03/08/1984,,,41,42,943,Irvine,USA
25th Summer Universiade 2009,01:54.13,11/07/2009,Men 200 Backstroke LCM Male,JPN,Japan,"IRIE, Ryosuke",M,24/01/1990,,,43,43,,Belgrade,SRB
13th FINA World Championships 2009,01:54.14,30/07/2009,Men 200 Backstroke LCM Male,JPN,Japan,"IRIE, Ryosuke",M,24/01/1990,,,44,44,,Rome,ITA
Olympic Games Tokyo 2020,01:54.15,30/07/2021,Men 200 Backstroke LCM Male,USA,United States of America,"MURPHY, Ryan",M,02/07/1995,,,45,45,942,Tokyo,JPN
US National Championships (50m),01:54.15,26/07/2018,Men 200 Backstroke LCM Male,USA,United States of America,"MURPHY, Ryan",M,02/07/1995,,,45,46,942,Irvine,USA
US Olympic Team Trials - Wave II,01:54.20,18/06/2021,Men 200 Backstroke LCM Male,USA,United States of America,"MURPHY, Ryan",M,02/07/1995,,,47,47,941,Omaha,USA
17th FINA World Championships 2017,01:54.21,28/07/2017,Men 200 Backstroke LCM Male,USA,United States of America,"MURPHY, Ryan",M,02/07/1995,,,48,48,941,Budapest,HUN
Russian National Championships (50m),01:54.21,21/04/2016,Men 200 Backstroke LCM Male,RUS,Russian Federation,"RYLOV, Evgeny",M,23/09/1996,,,48,49,941,Moscow,RUS
Russian National Championships (50m),01:54.21,16/04/2016,Men 200 Backstroke LCM Male,RUS,Russian Federation,"RYLOV, Evgeny",M,23/09/1996,,,48,50,941,Moscow,RUS
Japan Swim 2014,01:54.23,10/04/2014,Men 200 Backstroke LCM Male,JPN,Japan,"HAGINO, Kosuke",M,15/08/1994,,,51,51,940,Tokyo,JPN
15th FINA World Championships 2013,01:54.24,02/08/2013,Men 200 Backstroke LCM Male,POL,Poland,"KAWECKI, Radoslaw",M,16/08/1991,,,52,52,940,Barcelona,ESP
16th FINA World Championships 2015,01:54.29,06/08/2015,Men 200 Backstroke LCM Male,AUS,Australia,"LARKIN, Mitchell",M,09/07/1993,,,53,53,939,Kazan,RUS
US National Championships (50m),01:54.30,28/06/2017,Men 200 Backstroke LCM Male,USA,United States of America,"MURPHY, Ryan",M,02/07/1995,,,54,54,938,Indianapolis,USA
USA Olympic Team Trials,01:54.32,04/07/2008,Men 200 Backstroke LCM Male,USA,United States of America,"PEIRSOL, Aaron",M,23/07/1983,,,55,55,1025,Omaha,USA
12th FINA World Championships 2007,01:54.32,30/03/2007,Men 200 Backstroke LCM Male,USA,United States of America,"LOCHTE, Ryan",M,03/08/1984,,,55,56,,Melbourne,AUS
Olympic Games Beijing 2008,01:54.33,15/08/2008,Men 200 Backstroke LCM Male,USA,United States of America,"PEIRSOL, Aaron",M,23/07/1983,,,57,57,1025,Beijing,CHN
Mare Nostrum - 29th Meeting International de Natation de Monte Carlo 2011,01:54.34,11/06/2011,Men 200 Backstroke LCM Male,JPN,Japan,"IRIE, Ryosuke",M,24/01/1990,,,58,58,937,Monaco,MON
Hancock Prospecting Australian Swimming Club Championships 2021,01:54.38,16/04/2021,Men 200 Backstroke LCM Male,AUS,Australia,"LARKIN, Mitchell",M,09/07/1993,,,59,59,936,Gold Coast,AUS
European Championships 2021,01:54.43,21/05/2021,Men 200 Backstroke LCM Male,GBR,Great Britain,"GREENBANK, Luke",M,17/09/1997,,,60,60,935,Budapest,HUN
10th Pan Pacific Championships 2006,01:54.44,19/08/2006,Men 200 Backstroke LCM Male,USA,United States of America,"PEIRSOL, Aaron",M,23/07/1983,,,61,61,,Victoria,CAN
Olympic Games Tokyo 2020,01:54.45,29/07/2021,Men 200 Backstroke LCM Male,ROC,ROC,"RYLOV, Evgeny",M,23/09/1996,,,62,62,935,Tokyo,JPN
Olympic Games Rio 2016,01:54.45,10/08/2016,Men 200 Backstroke LCM Male,RUS,Russian Federation,"RYLOV, Evgeny",M,23/09/1996,,,62,63,935,Rio de Janeiro,BRA
European Championships 2021,01:54.46,22/05/2021,Men 200 Backstroke LCM Male,RUS,Russian Federation,"RYLOV, Evgeny",M,23/09/1996,,,64,64,934,Budapest,HUN
19th FINA World Championships Budapest 2022,01:54.52,23/06/2022,Men 200 Backstroke LCM Male,USA,United States of America,"MURPHY, Ryan",M,02/07/1995,,,65,65,933,Budapest,HUN
US Olympic Team Trials,01:54.54,25/06/2012,Men 200 Backstroke LCM Male,USA,United States of America,"LOCHTE, Ryan",M,03/08/1984,,,66,66,932,Omaha,USA
Mare Nostrum -  Meeting International de Canet-en-Roussillon 2011,01:54.54,08/06/2011,Men 200 Backstroke LCM Male,JPN,Japan,"IRIE, Ryosuke",M,24/01/1990,,,66,67,932,Canet-en-Roussillon,FRA
16th FINA World Championships 2015,01:54.55,07/08/2015,Men 200 Backstroke LCM Male,POL,Poland,"KAWECKI, Radoslaw",M,16/08/1991,,,68,68,932,Kazan,RUS
2011 Japan Open,01:54.55,20/05/2011,Men 200 Backstroke LCM Male,JPN,Japan,"IRIE, Ryosuke",M,24/01/1990,,,68,69,932,Tokyo,JPN
16th FINA World Championships 2015,01:54.60,07/08/2015,Men 200 Backstroke LCM Male,RUS,Russian Federation,"RYLOV, Evgeny",M,23/09/1996,,,70,70,931,Kazan,RUS
European Championships 2021,01:54.62,22/05/2021,Men 200 Backstroke LCM Male,GBR,Great Britain,"GREENBANK, Luke",M,17/09/1997,,,71,71,930,Budapest,HUN
BHP Aquatic Super Series 2015,01:54.62,31/01/2015,Men 200 Backstroke LCM Male,JPN,Japan,"IRIE, Ryosuke",M,24/01/1990,,,71,72,930,Perth,AUS
Mare Nostrum - Trofeu Internacional Ciutat de Barcelona 2011,01:54.62,04/06/2011,Men 200 Backstroke LCM Male,JPN,Japan,"IRIE, Ryosuke",M,24/01/1990,,,71,73,930,Barcelona,ESP
